Time [s],Longitude [rad],Latitude [rad],Altitude [m],V North [m/s],V East [m/s],V Down [m/s],Roll [rad],Pitch [rad],Yaw [rad],DVL X [m/s],DVL Y [m/s],DVL Z [m/s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
232.58,0.6089587146996299,0.5733665597917039,-20.1919,1.085997,1.216043,0.216111,-0.0858876524906409,-0.21544344286618,1.1620576867236372,1.647761452820695,-0.658540978044211,-0.1163513327332637,-0.0201629999999999,-0.0052169999999999,-0.095891,0.0006709999999999,-0.000155,0.00114
233.58,0.608958959394791,0.5733667308339706,-20.421146,0.925786,1.386538,0.252566,0.0893783109946296,-0.2284286925010177,1.3117546464803609,1.7710355881315136,-0.4533796488594211,-0.1046149115794261,-0.0231089999999999,-0.0036859999999999,-0.094126,-0.000369,-0.000207,0.000275
234.59,0.6089592248593703,0.5733668814558851,-20.701916,0.792582,1.550564,0.327008,0.0601789526087644,-0.2561096318909404,1.3796653902221678,1.9047875064066169,-0.3398172120450043,-0.0877852110621341,-0.0244179999999999,-0.0036459999999999,-0.094531,-4.399999999999999e-05,-9.299999999999998e-05,-0.000201
235.59,0.6089595208672115,0.5733670078177229,-21.058332,0.748129,1.678786,0.395704,0.0475253155318056,-0.2691297881108181,1.377518478162582,2.02075176981282,-0.3073666015508812,-0.0688254327877105,-0.0252739999999999,-0.0033789999999999,-0.093527,-0.000407,-7.999999999999986e-06,-0.000231
236.59,0.6089597561375947,0.5733671289435729,-21.473988,0.769634,1.780252,0.448619,0.0378212848907171,-0.2733534674473517,1.352455602463821,2.126936564197436,-0.3068144504916208,-0.0610542034959841,-0.0252579999999999,-0.0014379999999999,-0.094428,-0.000187,3.000000000000001e-05,-0.000144
237.59,0.6089600922880085,0.5733672422154414,-21.936247,0.801257,1.87095,0.488928,0.0112748269678833,-0.2712067124673987,1.3332221090134286,2.2160511646982037,-0.2992282657714286,0.0335961571635494,-0.0248949999999999,-0.0019409999999999,-0.094161,0.000157,0.000181,-0.0001019999999999
238.6,0.6089604654394025,0.5733673654356867,-22.431574,0.831958,1.948199,0.519008,0.0148178453494318,-0.2639461427791023,1.3212490805315773,2.2892108167439407,-0.2961688461314826,0.1017507571111201,-0.0217589999999999,-0.0019679999999999,-0.095842,-0.000105,0.00044,-7.299999999999997e-05
239.6,0.6089608483646405,0.5733674987788415,-22.941427,0.861795,2.023458,0.50681,0.0168424272817452,-0.2304532744333312,1.3133253729939856,2.3599633145695997,-0.2880903004016899,0.1270147754835363,-0.0171429999999999,-0.0012429999999999,-0.097528,-3.899999999999999e-05,0.000506,-6.199999999999998e-05
240.6,0.6089612438562491,0.5733676387542475,-23.41287,0.890553,2.10028,0.443193,0.0090233522328106,-0.1816887751326095,1.3070945126577806,2.4061807636727632,-0.2933115791000171,0.1196897389545597,-0.0125679999999999,-0.0009269999999999,-0.098237,0.000105,0.00046,-5.5999999999999965e-05
241.6,0.6089616503434319,0.5733677825693778,-23.807875,0.91681,2.171865,0.352904,0.0071907565182166,-0.1321214243759707,1.3015792373148936,2.461541786743593,-0.2818071584853632,0.110281660517802,-0.0083449999999999,-0.0013119999999999,-0.098691,4.3e-05,0.000364,-3.199999999999998e-05
