Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
1,1,3,0.012,0.0,60,70,2,43.98,0.5967240303610754
1,1,3,0.013200000000000002,0.0,80,75,3,47.29,0.5067310383111598
1,1,3,0.014520000000000003,0.0,100,80,4,50.06,0.5067310383111598
10,1,5,0.012,0.0,60,70,2,43.61,0.3234433418930723
10,1,5,0.013200000000000002,0.0,80,75,3,46.84,0.2384260955098115
10,1,5,0.014520000000000003,0.0,100,80,4,50.93,0.2384260955098115
10,1,3,0.012,0.0,60,70,2,44.03,0.36790220887812336
10,1,3,0.013200000000000002,0.0,80,75,3,46.93,0.36790220887812336
10,1,3,0.014520000000000003,0.0,100,80,4,50.07,0.2664262065588226
10,2,2,0.012,0.0,60,70,2,44.28,0.38686021772536267
10,2,2,0.013200000000000002,0.0,80,75,3,47.15,0.30400703605515794
10,2,2,0.014520000000000003,0.0,100,80,4,50.59,0.2745474639803716
10,1,4,0.012,0.0,60,70,2,43.54,0.27526505922081695
10,1,4,0.013200000000000002,0.0,80,75,3,47.07,0.27526505922081695
10,1,4,0.014520000000000003,0.0,100,80,4,50.09,0.16855798858018153
9,1,5,0.012,0.0,60,70,2,43.75,0.4282687180098578
