ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s],DVL X [m/s],DVL Y [m/s],DVL Z [m/s]
0.000663,-0.002386,-0.098309,-7.60E-05,8.90E-05,0.00093,1.728037974,-0.061645719,0.005750152
0.000814,-0.002672,-0.098315,0.000207,4.00E-05,0.000998,1.731191238,-0.090496904,-0.016719103
0.000522,-0.003908,-0.098041,-1.50E-05,2.40E-05,0.001079,1.720578923,-0.104344397,-0.008506253
-1.00E-05,-0.003935,-0.097292,6.50E-05,3.50E-05,0.001128,1.738755736,-0.104843695,0.017975483
-0.000129,-0.003974,-0.097614,-3.60E-05,6.70E-05,0.001165,1.745073308,-0.082377534,0.042452742
0.000248,-0.003156,-0.097862,-3.00E-06,0.000108,0.001158,1.756939075,-0.048297204,0.038314718
0.000427,-0.003225,-0.098017,-7.40E-05,0.000125,0.001116,1.752337259,-0.033916191,0.010756995
0.000727,-0.002795,-0.098165,-4.60E-05,9.20E-05,0.001071,1.731978879,-0.031277888,-0.019802117
0.000954,-0.002443,-0.097692,-3.30E-05,2.90E-05,0.001026,1.704962431,-0.007771734,-0.021749546
0.000614,-0.002678,-0.097678,-7.00E-05,8.00E-06,0.000955,1.683761131,0.021587211,0.001809681
0.000559,-0.002281,-0.097376,-3.30E-05,2.80E-05,0.000869,1.67707103,0.046788139,0.030421312
0.000562,-0.001836,-0.09807,-0.000135,6.00E-05,0.000779,1.663863758,0.06685199,0.036592765
0.000915,-0.001012,-0.098137,-3.60E-05,7.50E-05,0.000706,1.644264047,0.071669305,0.023390325
0.001147,-0.000866,-0.098109,-6.40E-05,4.50E-05,0.000637,1.609212852,0.100132546,0.005133756
0.001317,-0.001287,-0.098082,3.20E-05,1.30E-05,0.000557,1.577834635,0.127920675,0.006265649
0.001393,-0.001793,-0.097787,-1.20E-05,-4.00E-06,0.000477,1.562572348,0.141463009,0.020616679
0.001337,-0.001057,-0.097841,-0.000115,1.10E-05,0.000395,1.549508994,0.151419948,0.037002396
0.001531,-0.000445,-0.097865,-9.30E-05,3.30E-05,0.000339,1.536321951,0.1671492,0.037047901
0.001794,-0.000296,-0.098038,1.20E-05,4.70E-05,0.000287,1.516813879,0.163301397,0.023847459
0.002243,-0.000715,-0.098087,7.70E-05,2.60E-05,0.00024,1.503484251,0.189138745,0.015720709
0.002321,-0.001353,-0.097939,3.60E-05,-2.00E-06,0.000186,1.494705419,0.199143714,0.017794143
0.002455,-0.001661,-0.097858,-2.00E-06,-1.00E-05,0.000145,1.491014834,0.208490106,0.024953592
0.002342,-0.001746,-0.097882,-1.90E-05,2.00E-06,0.000119,1.505331053,0.217326438,0.016728122
0.002418,-0.001377,-0.098097,-6.80E-05,1.30E-05,0.000101,1.498679341,0.225187145,0.002453993
0.002342,-0.001541,-0.098046,-3.00E-06,-1.00E-05,7.30E-05,1.489106057,0.238792468,-0.005683622
0.002112,-0.001652,-0.097927,-1.00E-05,-3.60E-05,5.10E-05,1.491366326,0.232320943,-0.001605371
0.00176,-0.001818,-0.097772,-2.00E-05,-3.90E-05,3.00E-05,1.493561655,0.233072237,0.005534193
0.001395,-0.001662,-0.097844,-2.30E-05,-1.70E-05,3.20E-05,1.485612429,0.23514646,0.007606642
0.001344,-0.001415,-0.098016,4.20E-05,-5.00E-06,3.80E-05,1.490604808,0.237370608,-0.002624871
0.001181,-0.001841,-0.098001,3.80E-05,-1.40E-05,3.70E-05,1.481076543,0.248088652,-0.006676845
0.000974,-0.001769,-0.097828,-6.10E-05,-2.20E-05,2.80E-05,1.491056471,0.261210042,-0.002633024
0.00079,-0.00145,-0.097844,-4.20E-05,-2.10E-05,1.60E-05,1.483945633,0.252458751,0.000459197
0.000593,-0.001296,-0.097965,2.00E-06,-1.20E-05,2.10E-05,1.490581922,0.24170733,-0.002625958
