Time [s],ACC X [m/s^2],ACC Y [m/s^2],ACC Z [m/s^2],GYRO X [rad/s],GYRO Y [rad/s],GYRO Z [rad/s]
11:35:12.428,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.438,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.448,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.458,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.468,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.478,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.488,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.498,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.508,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.518,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.528,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.538,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.548,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.558,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.568,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.578,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.588,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.598,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.608,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
11:35:12.618,-0.14535357,-1.0730648,-9.543327,10.726967,-0.9665558,2.8423722
