Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
309.77,-0.0009849999999999,-0.0022809999999999,-0.097734,3.199999999999999e-05,-1.900000000000001e-05,0.000141,-0.0009569999999999,-0.0021129999999999,-0.097991,3.3e-05,-7.000000000000009e-06,0.00015,0.39127501674382126,-0.32968567165066737,-0.41541656597602056,0.30554412241846807,0.3742228426522478,-0.3429112265810783,-0.423336300575683,0.2937977686576432,0.54403,-1.398454,-0.003444
310.78,-0.0010419999999999,-0.0022699999999999,-0.097826,-0.000115,2.1999999999999996e-05,0.000124,-0.0009849999999999,-0.0022809999999999,-0.097734,3.199999999999999e-05,-1.900000000000001e-05,0.000141,0.4134839809588036,-0.3098805752803934,-0.40300303566101914,0.32036152057817796,0.39127501674382126,-0.32968567165066737,-0.41541656597602056,0.30554412241846807,0.569086,-1.386036,0.004653
311.78,-0.0007629999999999,-0.0014439999999999,-0.098261,-5.4000000000000005e-05,4.599999999999999e-05,0.000133,-0.0010419999999999,-0.0022699999999999,-0.097826,-0.000115,2.1999999999999996e-05,0.000124,0.39260672374101624,-0.3319009541611523,-0.4148709921731936,0.3096366857289749,0.4134839809588036,-0.3098805752803934,-0.40300303566101914,0.32036152057817796,0.597137,-1.383266,0.020114
312.78,-0.0007119999999999,-0.0017459999999999,-0.098153,7.299999999999999e-05,-7.000000000000009e-06,0.000148,-0.0007629999999999,-0.0014439999999999,-0.098261,-5.4000000000000005e-05,4.599999999999999e-05,0.000133,0.3571587150476179,-0.3613932721273978,-0.43903103680261646,0.2795209503723992,0.39260672374101624,-0.3319009541611523,-0.4148709921731936,0.3096366857289749,0.611667,-1.383076,0.012163
313.78,-0.0009839999999999,-0.0025649999999999,-0.097716,9.399999999999998e-05,-3.600000000000001e-05,0.000153,-0.0007119999999999,-0.0017459999999999,-0.098153,7.299999999999999e-05,-7.000000000000009e-06,0.000148,0.36299976594592803,-0.35199214394663686,-0.4351957024313325,0.27979620746123235,0.3571587150476179,-0.3613932721273978,-0.43903103680261646,0.2795209503723992,0.618859,-1.367726,-0.014982
314.79,-0.0011339999999999,-0.0023619999999999,-0.097562,-7.500000000000001e-05,-8.000000000000008e-06,0.000133,-0.0009839999999999,-0.0025649999999999,-0.097716,9.399999999999998e-05,-3.600000000000001e-05,0.000153,0.39739580963156146,-0.3221470684234015,-0.40996422114684156,0.30957865690812136,0.36299976594592803,-0.35199214394663686,-0.4351957024313325,0.27979620746123235,0.637988,-1.345976,-0.017601
315.79,-0.0010419999999999,-0.0016719999999999,-0.097879,-8.900000000000001e-05,3.899999999999999e-05,0.000137,-0.0011339999999999,-0.0023619999999999,-0.097562,-7.500000000000001e-05,-8.000000000000008e-06,0.000133,0.4128505236830898,-0.31275551190738177,-0.39468890523325717,0.33091713035721443,0.39739580963156146,-0.3221470684234015,-0.40996422114684156,0.30957865690812136,0.667244,-1.337864,0.007726
316.79,-0.0008369999999999,-0.0015989999999999,-0.098209,8.499999999999999e-05,4.199999999999999e-05,0.000161,-0.0010419999999999,-0.0016719999999999,-0.097879,-8.900000000000001e-05,3.899999999999999e-05,0.000137,0.39360825984700626,-0.3288705386380291,-0.40620870211544013,0.3162700963695953,0.4128505236830898,-0.31275551190738177,-0.39468890523325717,0.33091713035721443,0.685165,-1.339559,0.024529
317.79,-0.0004869999999999,-0.0018639999999999,-0.098104,6.799999999999999e-05,3.99999999999999e-06,0.000172,-0.0008369999999999,-0.0015989999999999,-0.098209,8.499999999999999e-05,4.199999999999999e-05,0.000161,0.37859440575254066,-0.34203992138085154,-0.4239098141817372,0.296724512951655,0.39360825984700626,-0.3288705386380291,-0.40620870211544013,0.3162700963695953,0.695308,-1.337667,0.014935
318.8,-0.0007829999999999,-0.0026449999999999,-0.097826,2.399999999999999e-05,-1.800000000000001e-05,0.00015,-0.0004869999999999,-0.0018639999999999,-0.098104,6.799999999999999e-05,3.99999999999999e-06,0.000172,0.3800719122332857,-0.34370095767935227,-0.42736160300721016,0.2964112669054278,0.37859440575254066,-0.34203992138085154,-0.4239098141817372,0.296724512951655,0.715181,-1.322835,-0.004897
