Trajectory ID,6(),4(),Learning Rate,Dropout Rate,Number of Layers,Number of Hidden Neurons,Epochs,Stacking Count,Time Taken,Best RMSE
10,1,3,0.0012100000000000001,0.0,6,100,80,4,60.41,0.45715011272836875
10,1,3,0.0013310000000000002,0.0,7,120,85,5,70.31,0.44834923757907436
10,2,2,0.001,0.0,4,60,70,2,43.09,0.4974811863916699
10,2,2,0.0011,0.0,5,80,75,3,51.27,0.47911649108282484
10,2,2,0.0012100000000000001,0.0,6,100,80,4,60.15,0.47341772218942096
10,2,2,0.0013310000000000002,0.0,7,120,85,5,70.67,0.44339309579287484
10,1,4,0.001,0.0,4,60,70,2,42.9,0.4846108568354875
10,1,4,0.0011,0.0,5,80,75,3,51.0,0.47694906665891346
10,1,4,0.0012100000000000001,0.0,6,100,80,4,59.84,0.45382107146582945
10,1,4,0.0013310000000000002,0.0,7,120,85,5,70.26,0.45382107146582945
