Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,DVL2_1,DVL2_2,DVL2_3,DVL2_4,DVL3_1,DVL3_2,DVL3_3,DVL3_4,V North,V East,V Down
330.83,-0.0001839999999999,-0.0010979999999999,-0.097584,-8.199999999999996e-05,3.300000000000005e-05,-0.000773,0.7320425498566724,-0.369068313818158,-0.7082282259008874,0.3928826377739428,0.7266579366452776,-0.38220948959157447,-0.7413744803327483,0.36749294590410375,0.7289191749776863,-0.3958642908550828,-0.7649964753713303,0.3597869904614389,0.7397236960416202,-0.3932522786485019,-0.7509525608514169,0.38202341383870503,0.56663,-2.314753,-0.003943
331.83,-0.0002139999999999,-0.0003939999999999,-0.097697,-9.999999999999964e-06,4.500000000000004e-05,-0.000609,0.7159721830861501,-0.3928082476712191,-0.7037594914793992,0.40502093927796995,0.7320425498566724,-0.369068313818158,-0.7082282259008874,0.3928826377739428,0.7266579366452776,-0.38220948959157447,-0.7413744803327483,0.36749294590410375,0.7289191749776863,-0.3958642908550828,-0.7649964753713303,0.3597869904614389,0.349289,-2.337136,0.015315
332.83,-0.0003599999999999,-4.199999999999401e-05,-0.09787,1.7000000000000027e-05,2.1000000000000023e-05,-0.000441,0.6932941843352529,-0.4228560699885061,-0.7003524389095319,0.415797815414227,0.7159721830861501,-0.3928082476712191,-0.7037594914793992,0.40502093927796995,0.7320425498566724,-0.369068313818158,-0.7082282259008874,0.3928826377739428,0.7266579366452776,-0.38220948959157447,-0.7413744803327483,0.36749294590410375,0.154562,-2.355519,0.01605
333.83,-0.0001669999999999,0.000602,-0.097444,-0.0001119999999999,2.000000000000002e-05,-0.000268,0.6955311795331014,-0.4291247203863072,-0.6700380499698427,0.45461784994956567,0.6932941843352529,-0.4228560699885061,-0.7003524389095319,0.415797815414227,0.7159721830861501,-0.3928082476712191,-0.7037594914793992,0.40502093927796995,0.7320425498566724,-0.369068313818158,-0.7082282259008874,0.3928826377739428,-0.008556,-2.357424,0.004209
334.84,0.000346,0.000171,-0.098308,2.3000000000000003e-05,5.0000000000000055e-06,-8.1e-05,0.6830531207211052,-0.4531505212345595,-0.6634556048719581,0.4727480370837068,0.6955311795331014,-0.4291247203863072,-0.6700380499698427,0.45461784994956567,0.6932941843352529,-0.4228560699885061,-0.7003524389095319,0.415797815414227,0.7159721830861501,-0.3928082476712191,-0.7037594914793992,0.40502093927796995,-0.138979,-2.351917,0.007683
335.84,-7.399999999999397e-05,0.000882,-0.098547,-6.7e-05,-1.5000000000000004e-05,6.4e-05,0.6637473193782506,-0.4895660808836139,-0.6693269701918493,0.48398643007001513,0.6830531207211052,-0.4531505212345595,-0.6634556048719581,0.4727480370837068,0.6955311795331014,-0.4291247203863072,-0.6700380499698427,0.45461784994956567,0.6932941843352529,-0.4228560699885061,-0.7003524389095319,0.415797815414227,-0.23351,-2.36121,0.013353
336.84,-0.0001259999999999,0.000659,-0.098337,3.1999999999999985e-05,-3.700000000000001e-05,0.00017,0.6376010308799916,-0.5247030528423484,-0.6797619050003691,0.48254217872197097,0.6637473193782506,-0.4895660808836139,-0.6693269701918493,0.48398643007001513,0.6830531207211052,-0.4531505212345595,-0.6634556048719581,0.4727480370837068,0.6955311795331014,-0.4291247203863072,-0.6700380499698427,0.45461784994956567,-0.289486,-2.380352,0.004457
337.84,-0.0004509999999999,0.001009,-0.098097,3.999999999999984e-06,-3.400000000000001e-05,0.000265,0.6469453981076674,-0.5305970123561318,-0.6701171805034783,0.5074252299603208,0.6376010308799916,-0.5247030528423484,-0.6797619050003691,0.48254217872197097,0.6637473193782506,-0.4895660808836139,-0.6693269701918493,0.48398643007001513,0.6830531207211052,-0.4531505212345595,-0.6634556048719581,0.4727480370837068,-0.305034,-2.399598,-0.006532
338.85,-0.0007029999999999,-0.0010239999999999,-0.098653,-0.00029,-7.000000000000021e-06,0.000341,0.6210117773598458,-0.5676968775876189,-0.6769512206681566,0.5117574342793082,0.6469453981076674,-0.5305970123561318,-0.6701171805034783,0.5074252299603208,0.6376010308799916,-0.5247030528423484,-0.6797619050003691,0.48254217872197097,0.6637473193782506,-0.4895660808836139,-0.6693269701918493,0.48398643007001513,-0.292011,-2.421244,0.000449
339.85,-0.0021709999999999,0.00823,-0.095276,-0.000369,0.0002149999999999,0.002353,0.5297547764134944,-0.5719876931836286,-0.37483542612588405,0.726907043471239,0.6210117773598458,-0.5676968775876189,-0.6769512206681566,0.5117574342793082,0.6469453981076674,-0.5305970123561318,-0.6701171805034783,0.5074252299603208,0.6376010308799916,-0.5247030528423484,-0.6797619050003691,0.48254217872197097,-0.253688,-2.456861,0.012866
