Time,ACC X_0,ACC Y_0,ACC Z_0,GYRO X_0,GYRO Y_0,GYRO Z_0,ACC X_1,ACC Y_1,ACC Z_1,GYRO X_1,GYRO Y_1,GYRO Z_1,DVL0_1,DVL0_2,DVL0_3,DVL0_4,DVL1_1,DVL1_2,DVL1_3,DVL1_4,V North,V East,V Down
84.21,0.0001,-0.0058549999999999,-0.097901,-2.8000000000000006e-05,-3.0000000000000056e-06,9.2e-05,0.000528,-0.0059419999999999,-0.097881,-2.200000000000001e-05,2.9999999999999946e-06,8.7e-05,0.4330618403214304,-0.5675238633665654,-0.46494672091441375,0.535638982773582,0.44689378186483136,-0.5519555673258414,-0.4518089409302426,0.5470404082604302,-1.638324,1.249078,-0.010183
85.21,-6.8999999999994e-05,-0.0050609999999999,-0.097774,-2.700000000000001e-05,-3.100000000000001e-05,9.1e-05,0.0001,-0.0058549999999999,-0.097901,-2.8000000000000006e-05,-3.0000000000000056e-06,9.2e-05,0.4366134392253793,-0.568462720140169,-0.47049350533215745,0.534582654033391,0.4330618403214304,-0.5675238633665654,-0.46494672091441375,0.535638982773582,-1.657665,1.238417,-0.017377
86.22,-0.0004589999999999,-0.0046599999999999,-0.097613,-4.500000000000001e-05,-2.700000000000001e-05,8.4e-05,-6.8999999999994e-05,-0.0050609999999999,-0.097774,-2.700000000000001e-05,-3.100000000000001e-05,9.1e-05,0.45149544150604076,-0.5567560361454883,-0.45847679827135035,0.5497746793801789,0.4366134392253793,-0.568462720140169,-0.47049350533215745,0.534582654033391,-1.674247,1.228052,-0.018281
87.22,-0.0003909999999999,-0.0042059999999999,-0.097615,-8.9e-05,1.999999999999994e-06,9.7e-05,-0.0004589999999999,-0.0046599999999999,-0.097613,-4.500000000000001e-05,-2.700000000000001e-05,8.4e-05,0.47972538302905327,-0.5240788277274385,-0.42119791533584955,0.5826062954206421,0.45149544150604076,-0.5567560361454883,-0.45847679827135035,0.5497746793801789,-1.686613,1.217405,-0.005978
88.22,-0.0004649999999999,-0.0033999999999999,-0.097736,7.299999999999999e-05,3.899999999999999e-05,0.000115,-0.0003909999999999,-0.0042059999999999,-0.097615,-8.9e-05,1.999999999999994e-06,9.7e-05,0.49270435662187645,-0.5036178380011497,-0.41290855764284273,0.5834136369801833,0.47972538302905327,-0.5240788277274385,-0.42119791533584955,0.5826062954206421,-1.693379,1.201916,0.017226
89.22,0.000416,-0.0046989999999999,-0.098153,5.3e-05,3.8e-05,8.4e-05,-0.0004649999999999,-0.0033999999999999,-0.097736,7.299999999999999e-05,3.899999999999999e-05,0.000115,0.4908091636941892,-0.49802911549891,-0.41668887810636,0.5721494010867392,0.49270435662187645,-0.5036178380011497,-0.41290855764284273,0.5834136369801833,-1.701751,1.168247,0.03114
90.23,0.000532,-0.0046989999999999,-0.098395,-2.8000000000000003e-05,3.699999999999999e-05,6.3e-05,0.000416,-0.0046989999999999,-0.098153,5.3e-05,3.8e-05,8.4e-05,0.4706977487426114,-0.5207947229502791,-0.44858947461134285,0.5429029970815475,0.4908091636941892,-0.49802911549891,-0.41668887810636,0.5721494010867392,-1.710988,1.131876,0.028035
91.23,0.000807,-0.0047439999999999,-0.098226,2.9999999999999967e-06,4.999999999999997e-06,5.7e-05,0.000532,-0.0046989999999999,-0.098395,-2.8000000000000003e-05,3.699999999999999e-05,6.3e-05,0.44156952662999255,-0.5587073320592656,-0.47924769140647844,0.5210291672827799,0.4706977487426114,-0.5207947229502791,-0.44858947461134285,0.5429029970815475,-1.724175,1.106299,0.007219
92.23,0.000553,-0.0051129999999999,-0.098067,-3.100000000000001e-05,-2.8000000000000003e-05,7.2e-05,0.000807,-0.0047439999999999,-0.098226,2.9999999999999967e-06,4.999999999999997e-06,5.7e-05,0.4268746794222636,-0.5783210960784685,-0.4954152890273466,0.5097804864733856,0.44156952662999255,-0.5587073320592656,-0.47924769140647844,0.5210291672827799,-1.742257,1.098737,-0.021733
93.23,0.00011,-0.0047219999999999,-0.097835,-4.800000000000001e-05,-5.2e-05,7.8e-05,0.000553,-0.0051129999999999,-0.098067,-3.100000000000001e-05,-2.8000000000000003e-05,7.2e-05,0.4348058071503051,-0.5757688171300244,-0.4841711008582615,0.5264035234220678,0.4268746794222636,-0.5783210960784685,-0.4954152890273466,0.5097804864733856,-1.761416,1.101349,-0.035171
94.24,-0.0003889999999999,-0.0031799999999999,-0.097275,-8.4e-05,-1.8000000000000007e-05,9e-05,0.00011,-0.0047219999999999,-0.097835,-4.800000000000001e-05,-5.2e-05,7.8e-05,0.4658599754116259,-0.5399664961450662,-0.44201029008105747,0.5638161814756347,0.4348058071503051,-0.5757688171300244,-0.4841711008582615,0.5264035234220678,-1.774425,1.107433,-0.028219
95.24,-0.0007319999999999,-0.0031699999999999,-0.097525,3.499999999999999e-05,7.999999999999993e-06,0.000117,-0.0003889999999999,-0.0031799999999999,-0.097275,-8.4e-05,-1.8000000000000007e-05,9e-05,0.5036778536152778,-0.4962264557485463,-0.4027564876229528,0.5971478217408713,0.4658599754116259,-0.5399664961450662,-0.44201029008105747,0.5638161814756347,-1.776407,1.104597,0.002858
96.24,-0.0005659999999999,-0.0038259999999999,-0.097602,5.8e-05,6e-05,0.000117,-0.0007319999999999,-0.0031699999999999,-0.097525,3.499999999999999e-05,7.999999999999993e-06,0.000117,0.5095590421332947,-0.48003334486081634,-0.4008015556554134,0.5887908313386978,0.5036778536152778,-0.4962264557485463,-0.4027564876229528,0.5971478217408713,-1.775896,1.076435,0.038351
97.24,-4.499999999999399e-05,-0.0046259999999999,-0.098134,0.000115,4.899999999999999e-05,8.900000000000001e-05,-0.0005659999999999,-0.0038259999999999,-0.097602,5.8e-05,6e-05,0.000117,0.47936207171355866,-0.5072247764719713,-0.43986266647455396,0.546724181710976,0.5095590421332947,-0.48003334486081634,-0.4008015556554134,0.5887908313386978,-1.778501,1.026111,0.048325
98.25,0.00088,-0.0053619999999999,-0.098251,-3.5000000000000004e-05,2.2e-05,6.9e-05,-4.499999999999399e-05,-0.0046259999999999,-0.098134,0.000115,4.899999999999999e-05,8.900000000000001e-05,0.44780669066706474,-0.5505990701262122,-0.48547436931721344,0.5129313914760635,0.47936207171355866,-0.5072247764719713,-0.43986266647455396,0.546724181710976,-1.790489,0.977637,0.022902
99.25,0.000886,-0.0052569999999999,-0.098093,-6.4e-05,-2.2000000000000003e-05,6.8e-05,0.00088,-0.0053619999999999,-0.098251,-3.5000000000000004e-05,2.2e-05,6.9e-05,0.43316032765172435,-0.5790364481911188,-0.5018133158598329,0.51038345998301,0.44780669066706474,-0.5505990701262122,-0.48547436931721344,0.5129313914760635,-1.811381,0.959451,-0.017233
100.25,0.000529,-0.0049669999999999,-0.097633,-5.300000000000001e-05,-3.5000000000000004e-05,9.7e-05,0.000886,-0.0052569999999999,-0.098093,-6.4e-05,-2.2000000000000003e-05,6.8e-05,0.441890283984066,-0.5714953944833934,-0.48552919922732357,0.5278564792401359,0.43316032765172435,-0.5790364481911188,-0.5018133158598329,0.51038345998301,-1.834222,0.969037,-0.03917
101.25,-0.0003269999999999,-0.0038919999999999,-0.097523,-7.6e-05,-3.300000000000001e-05,9.7e-05,0.000529,-0.0049669999999999,-0.097633,-5.300000000000001e-05,-3.5000000000000004e-05,9.7e-05,0.46299823926182054,-0.5469229518461158,-0.462318554521001,0.5476026365869352,0.441890283984066,-0.5714953944833934,-0.48552919922732357,0.5278564792401359,-1.852034,0.97739,-0.029602
102.26,-0.0001139999999999,-0.0030999999999999,-0.097752,-2.100000000000001e-05,-1.000000000000006e-06,0.000101,-0.0003269999999999,-0.0038919999999999,-0.097523,-7.6e-05,-3.300000000000001e-05,9.7e-05,0.4783499360029266,-0.5228776441763037,-0.4371194683588466,0.5641081118203836,0.46299823926182054,-0.5469229518461158,-0.462318554521001,0.5476026365869352,-1.860469,0.966818,-0.006577
103.26,-0.0006289999999999,-0.0034089999999999,-0.097627,9.3e-05,2.0999999999999992e-05,0.000106,-0.0001139999999999,-0.0030999999999999,-0.097752,-2.100000000000001e-05,-1.000000000000006e-06,0.000101,0.49095967451927414,-0.5015139840845916,-0.41880447834758,0.5736691802562858,0.4783499360029266,-0.5228776441763037,-0.4371194683588466,0.5641081118203836,-1.85544,0.941981,0.015393
104.26,-0.0001999999999999,-0.0042549999999999,-0.097947,3.199999999999999e-05,4.3e-05,0.000121,-0.0006289999999999,-0.0034089999999999,-0.097627,9.3e-05,2.0999999999999992e-05,0.000106,0.49546109622047513,-0.49726827818428376,-0.42331885730219787,0.569410517102561,0.49095967451927414,-0.5015139840845916,-0.41880447834758,0.5736691802562858,-1.849408,0.908828,0.0281
105.26,0.000258,-0.0051539999999999,-0.098129,4.199999999999999e-05,3.499999999999999e-05,0.000104,-0.0001999999999999,-0.0042549999999999,-0.097947,3.199999999999999e-05,4.3e-05,0.000121,0.48362727120128424,-0.513447263546916,-0.45391050063966126,0.543164034108539,0.49546109622047513,-0.49726827818428376,-0.42331885730219787,0.569410517102561,-1.854783,0.868806,0.03079
106.27,0.000349,-0.0049959999999999,-0.098059,-6.3e-05,7.999999999999995e-06,8.4e-05,0.000258,-0.0051539999999999,-0.098129,4.199999999999999e-05,3.499999999999999e-05,0.000104,0.4628711995394929,-0.5369749526598222,-0.47746809197386975,0.5223780602254453,0.48362727120128424,-0.513447263546916,-0.45391050063966126,0.543164034108539,-1.876234,0.829572,0.012812
107.27,0.000651,-0.0045689999999999,-0.098003,-2.6e-05,9.99999999999996e-07,6.6e-05,0.000349,-0.0049959999999999,-0.098059,-6.3e-05,7.999999999999995e-06,8.4e-05,0.4484660898630947,-0.5595191138841588,-0.49204902566781145,0.5159361780794423,0.4628711995394929,-0.5369749526598222,-0.47746809197386975,0.5223780602254453,-1.899865,0.808723,-0.008428
108.27,0.000388,-0.0041419999999999,-0.097794,-4.800000000000001e-05,-2.1e-05,7.6e-05,0.000651,-0.0045689999999999,-0.098003,-2.6e-05,9.99999999999996e-07,6.6e-05,0.43581328856597656,-0.575048749546089,-0.5006043783836477,0.5102576597284177,0.4484660898630947,-0.5595191138841588,-0.49204902566781145,0.5159361780794423,-1.917423,0.805731,-0.026663
109.27,-0.0002149999999999,-0.0045879999999999,-0.097629,1.5999999999999992e-05,-5.300000000000001e-05,8.8e-05,0.000388,-0.0041419999999999,-0.097794,-4.800000000000001e-05,-2.1e-05,7.6e-05,0.44820512889600805,-0.5557467362713328,-0.47631656458714267,0.5276353005801983,0.43581328856597656,-0.575048749546089,-0.5006043783836477,0.5102576597284177,-1.923358,0.809806,-0.033306
110.28,-0.0008049999999999,-0.0040449999999999,-0.097388,-8.3e-05,-2.000000000000001e-05,0.000105,-0.0002149999999999,-0.0045879999999999,-0.097629,1.5999999999999992e-05,-5.300000000000001e-05,8.8e-05,0.47906733953509045,-0.5200914351821432,-0.4378045502873732,0.5613542244298604,0.44820512889600805,-0.5557467362713328,-0.47631656458714267,0.5276353005801983,-1.918989,0.806252,-0.01555
111.28,-0.0004709999999999,-0.0034259999999999,-0.097532,8.399999999999998e-05,3.699999999999999e-05,0.000122,-0.0008049999999999,-0.0040449999999999,-0.097388,-8.3e-05,-2.000000000000001e-05,0.000105,0.5077827004745493,-0.48807167499468407,-0.4222138579343284,0.573640517534905,0.47906733953509045,-0.5200914351821432,-0.4378045502873732,0.5613542244298604,-1.915666,0.785549,0.018287
112.28,-0.0001609999999999,-0.0042829999999999,-0.098105,6.199999999999999e-05,6.099999999999999e-05,0.000111,-0.0004709999999999,-0.0034259999999999,-0.097532,8.399999999999998e-05,3.699999999999999e-05,0.000122,0.5018538108093263,-0.4987843220174882,-0.4413900755831561,0.5592480572436583,0.5077827004745493,-0.48807167499468407,-0.4222138579343284,0.573640517534905,-1.922351,0.744511,0.037398
113.28,0.000456,-0.0050609999999999,-0.098315,2.2e-05,3.699999999999999e-05,7.4e-05,-0.0001609999999999,-0.0042829999999999,-0.098105,6.199999999999999e-05,6.099999999999999e-05,0.000111,0.4706291220515552,-0.5295124073945271,-0.47946489608913506,0.5206766333569472,0.5018538108093263,-0.4987843220174882,-0.4413900755831561,0.5592480572436583,-1.940068,0.695932,0.028031
114.29,0.000616,-0.0052339999999999,-0.097953,-7.7e-05,-9.000000000000004e-06,5.8e-05,0.000456,-0.0050609999999999,-0.098315,2.2e-05,3.699999999999999e-05,7.4e-05,0.4454338134402734,-0.5557735741050326,-0.500480959462697,0.5007264280826089,0.4706291220515552,-0.5295124073945271,-0.47946489608913506,0.5206766333569472,-1.955028,0.665285,-0.004697
115.29,0.000417,-0.0046669999999999,-0.097742,-0.000134,-4.4000000000000006e-05,5.899999999999999e-05,0.000616,-0.0052339999999999,-0.097953,-7.7e-05,-9.000000000000004e-06,5.8e-05,0.444573646946002,-0.5575386260761112,-0.48614184387361237,0.5159704291485009,0.4454338134402734,-0.5557735741050326,-0.500480959462697,0.5007264280826089,-1.959629,0.661065,-0.028662
116.29,-0.0002649999999999,-0.0037089999999999,-0.097835,-7.5e-05,-3.2000000000000005e-05,9.9e-05,0.000417,-0.0046669999999999,-0.097742,-0.000134,-4.4000000000000006e-05,5.899999999999999e-05,0.46103024784070057,-0.5403913614484187,-0.4717897914735849,0.5296318178155345,0.444573646946002,-0.5575386260761112,-0.48614184387361237,0.5159704291485009,-1.961861,0.668086,-0.023971
117.29,-0.0006919999999999,-0.0035859999999999,-0.097747,6.199999999999999e-05,6.999999999999992e-06,0.000118,-0.0002649999999999,-0.0037089999999999,-0.097835,-7.5e-05,-3.2000000000000005e-05,9.9e-05,0.48812674266284856,-0.5170955817424779,-0.45660016179743745,0.5486221626078891,0.46103024784070057,-0.5403913614484187,-0.4717897914735849,0.5296318178155345,-1.966721,0.660458,-0.004395
118.3,-0.0003169999999999,-0.0040449999999999,-0.097811,6.4e-05,4e-05,0.000106,-0.0006919999999999,-0.0035859999999999,-0.097747,6.199999999999999e-05,6.999999999999992e-06,0.000118,0.47902453169647735,-0.5139109620974015,-0.4550193873244403,0.5379161064694387,0.48812674266284856,-0.5170955817424779,-0.45660016179743745,0.5486221626078891,-1.975176,0.631366,0.013584
119.3,4.600000000000599e-05,-0.0046369999999999,-0.097873,-1.6000000000000006e-05,9.999999999999994e-06,0.000103,-0.0003169999999999,-0.0040449999999999,-0.097811,6.4e-05,4e-05,0.000106,0.4736569358841296,-0.5276428086875151,-0.47095192389362134,0.5303478206780234,0.47902453169647735,-0.5139109620974015,-0.4550193873244403,0.5379161064694387,-1.98121,0.599988,0.009947
